model_name,brand,body_type,segment,price_eur,maintenance_cost_year,seating_capacity,boot_capacity_l,safety_rating,energy_cost_100km,powertrain_type,fuel_type,sustainable,coche_familiar,costo_energia_anual,costo_total_anual
Toyota K5,Toyota,SUV,D,57611,547,7,728,5,11.0,Petrol,Petrol,0,1,1650.0,2197.0
BMW FF-8,BMW,SUV,D,48476,627,5,533,5,7.2,Diesel,Diesel,0,1,1080.0,1707.0
Ford D9,Ford,Crossover,B,33585,637,7,743,4,10.29,Diesel,Diesel,0,1,1543.4999999999998,2180.5
Nissan CC1,Nissan,SUV,D,49816,627,6,613,3,6.17,Hybrid,Petrol+Electric,1,1,925.5,1552.5
Hyundai Q5x,Hyundai,MPV,B,33648,479,7,743,4,8.35,Diesel,Diesel,0,0,1252.5,1731.5
Skoda LL-77,Skoda,Coupe,C,45476,838,2,268,4,6.11,Hybrid,Petrol+Electric,1,0,916.5,1754.5
Dacia ZZ-33,Dacia,Convertible,C,38920,492,2,185,3,10.98,Petrol,Petrol,0,0,1647.0,2139.0
Land Rover R88,Land Rover,Crossover,F,125146,655,7,677,4,7.04,Diesel,Diesel,0,1,1056.0,1711.0
Kia WW-88,Kia,Crossover,B,37083,679,6,576,3,5.52,Hybrid,Petrol+Electric,1,1,827.9999999999999,1507.0
Renault Z66,Renault,Crossover,B,30851,626,7,579,4,14.84,Petrol,Petrol,0,1,2226.0,2852.0
Ferrari 777,Ferrari,SUV,E,85386,564,6,644,5,5.0,Hybrid,Petrol+Electric,1,1,750.0,1314.0
Volkswagen H7x,Volkswagen,SUV,B,35909,651,7,578,4,7.43,Diesel,Diesel,0,1,1114.5,1765.5
Audi SS1,Audi,Crossover,E,72835,548,5,465,5,11.83,Petrol,Petrol,0,0,1774.5,2322.5
Honda ZZ-55,Honda,Hatchback,D,54659,617,5,364,5,13.48,Petrol,Petrol,0,0,2022.0,2639.0
Hyundai 111,Hyundai,Hatchback,C,38969,564,5,420,5,11.51,Petrol,Petrol,0,0,1726.5,2290.5
Dacia S-Class,Dacia,Coupe,D,65418,912,4,351,5,5.0,Hybrid,Petrol+Electric,1,0,750.0,1662.0
Opel C4 Pro,Opel,Hatchback,D,53853,774,5,396,4,12.19,Diesel,Diesel,0,0,1828.5,2602.5
Skoda T1 Pro,Skoda,SUV,B,30567,627,5,527,4,9.5,Petrol,Petrol,0,1,1425.0,2052.0
Ferrari G8 Pro,Ferrari,Crossover,F,111373,723,7,511,5,7.06,Hybrid,Petrol+Electric,1,1,1059.0,1782.0
Renault A2 Pro,Renault,Sedan,E,66727,457,5,490,5,10.54,Diesel,Diesel,0,0,1580.9999999999998,2037.9999999999998
Mercedes-Benz F1 Pro,Mercedes-Benz,MPV,E,70227,658,7,958,4,8.08,Petrol,Petrol,0,0,1212.0,1870.0
Lamborghini G-Class,Lamborghini,Sedan,C,36905,463,5,482,4,11.94,Petrol,Petrol,0,0,1791.0,2254.0
Peugeot CC-99,Peugeot,Convertible,C,39227,525,3,216,4,11.48,Petrol,Petrol,0,0,1722.0,2247.0
Subaru NN1,Subaru,Wagon,C,50299,585,5,688,3,10.38,Petrol,Petrol,0,1,1557.0000000000002,2142.0
Fiat AA-66,Fiat,Sedan,A,29259,354,5,600,4,6.82,Diesel,Diesel,0,0,1023.0,1377.0
Ford F7x,Ford,Hatchback,C,45445,574,5,447,3,9.47,Diesel,Diesel,0,0,1420.5,1994.5
Mitsubishi R6,Mitsubishi,Sedan,C,39354,533,5,553,4,5.0,Hybrid,Petrol+Electric,1,0,750.0,1283.0
Opel I2x,Opel,SUV,D,68709,724,7,778,4,5.15,Hybrid,Petrol+Electric,1,1,772.5,1496.5
Ford 999,Ford,Sedan,C,38150,440,5,386,4,12.12,Petrol,Petrol,0,0,1817.9999999999998,2258.0
Ford K33,Ford,Pickup,C,36157,418,2,0,4,11.68,Petrol,Petrol,0,0,1752.0,2170.0
Seat I22,Seat,Sedan,D,49701,496,5,417,3,9.09,Diesel,Diesel,0,0,1363.5,1859.5
Citroën K77,Citroën,Coupe,C,52574,554,2,241,5,6.55,Hybrid,Petrol+Electric,1,0,982.5,1536.5
Honda B66,Honda,Hatchback,F,111216,552,5,458,3,9.33,Diesel,Diesel,0,0,1399.5,1951.5
Audi A11,Audi,Pickup,D,52074,699,5,0,4,13.4,Petrol,Petrol,0,0,2010.0,2709.0
Renault N-Class,Renault,Sedan,A,24899,587,5,430,5,13.87,Petrol,Petrol,0,0,2080.5,2667.5
Volkswagen EE7,Volkswagen,SUV,A,26072,846,7,503,4,8.33,Hybrid,Petrol+Electric,1,1,1249.5,2095.5
Kia II7,Kia,Crossover,D,56297,563,7,565,5,9.02,Diesel,Diesel,0,1,1353.0,1916.0
Subaru 444,Subaru,Hatchback,C,42468,651,5,301,4,12.79,Petrol,Petrol,0,0,1918.4999999999998,2569.5
Mitsubishi UU-4,Mitsubishi,Coupe,D,61529,483,3,359,3,10.0,Diesel,Diesel,0,0,1500.0,1983.0
Kia RR-99,Kia,Sedan,B,35875,770,5,381,5,9.26,Diesel,Diesel,0,0,1389.0,2159.0
Lancia D5x,Lancia,Crossover,A,22734,472,6,471,4,9.73,Petrol,Petrol,0,0,1459.5,1931.5
Toyota L8,Toyota,Crossover,C,52020,592,5,725,4,10.4,Hybrid,Petrol+Electric,1,1,1560.0,2152.0
Audi O2 Pro,Audi,Crossover,D,55819,764,6,756,4,7.44,Diesel,Diesel,0,1,1116.0,1880.0
Mercedes-Benz AA-77,Mercedes-Benz,Hatchback,F,113879,820,5,487,4,13.17,Petrol,Petrol,0,0,1975.5,2795.5
Subaru AA-5,Subaru,Hatchback,E,76348,468,5,408,5,12.69,Petrol,Petrol,0,0,1903.5,2371.5
Ferrari T2 Pro,Ferrari,Hatchback,C,40300,505,5,372,4,7.31,Hybrid,Diesel+Electric,1,0,1096.5,1601.5
Toyota SS-3,Toyota,Sedan,D,49463,710,5,601,5,10.73,Hybrid,Petrol+Electric,1,0,1609.5,2319.5
Kia T-Class,Kia,Hatchback,A,29944,482,5,443,5,6.34,Hybrid,Petrol+Electric,1,0,951.0,1433.0
Nissan CC-99,Nissan,MPV,C,50069,617,8,520,4,6.16,Hybrid,Petrol+Electric,1,0,924.0,1541.0
Toyota EE-6,Toyota,SUV,E,74056,696,6,505,4,10.63,Diesel,Diesel,0,1,1594.5000000000002,2290.5
Toyota F4 Pro,Toyota,Crossover,C,46865,700,5,724,4,9.31,Hybrid,Diesel+Electric,1,1,1396.5,2096.5
Opel O9 Pro,Opel,SUV,F,118380,746,7,729,4,6.7,Hybrid,Petrol+Electric,1,1,1005.0,1751.0
Volkswagen BB-11,Volkswagen,Sedan,B,28283,490,5,398,4,11.61,Petrol,Petrol,0,0,1741.5,2231.5
Fiat UU-55,Fiat,SUV,B,35053,328,7,820,4,9.1,Diesel,Diesel,0,1,1365.0,1693.0
Renault A11,Renault,Sedan,C,39837,650,5,516,3,8.37,Diesel,Diesel,0,0,1255.4999999999998,1905.4999999999998
Fiat II-55,Fiat,SUV,E,82382,687,5,800,4,6.08,Diesel,Diesel,0,1,912.0,1599.0
Vauxhall M4x,Vauxhall,SUV,C,49761,781,6,806,5,8.89,Hybrid,Diesel+Electric,1,1,1333.5,2114.5
Peugeot K1 Pro,Peugeot,SUV,D,65195,704,7,685,3,6.08,Diesel,Diesel,0,1,912.0,1616.0
BMW Z99,BMW,Pickup,B,34614,452,2,0,3,7.95,Petrol,Petrol,0,0,1192.5,1644.5
Citroën 222,Citroën,Sedan,D,53861,404,5,393,4,5.09,Hybrid,Petrol+Electric,1,0,763.5,1167.5
Opel X2x,Opel,SUV,C,48706,539,5,615,5,6.62,Hybrid,Diesel+Electric,1,1,993.0,1532.0
Mazda Z99,Mazda,Hatchback,B,39135,583,5,497,3,10.97,Hybrid,Petrol+Electric,1,0,1645.5,2228.5
Toyota O-Class,Toyota,SUV,D,54985,560,7,585,4,5.0,Hybrid,Petrol+Electric,1,1,750.0,1310.0
Kia L6 Pro,Kia,Wagon,D,51864,405,5,623,4,13.14,Petrol,Petrol,0,1,1971.0,2376.0
Subaru X-Class,Subaru,Hatchback,C,38517,211,5,361,4,12.26,Petrol,Petrol,0,0,1839.0,2050.0
Seat H-Class,Seat,Crossover,B,29003,402,7,647,4,11.61,Petrol,Petrol,0,1,1741.5,2143.5
Ford GG8,Ford,SUV,B,29486,249,6,481,4,6.96,Diesel,Diesel,0,0,1044.0,1293.0
Audi AA3,Audi,Hatchback,F,113372,524,5,396,5,5.35,Hybrid,Diesel+Electric,1,0,802.5,1326.5
Volkswagen U8,Volkswagen,MPV,D,56750,635,5,604,3,9.89,Diesel,Diesel,0,0,1483.5,2118.5
BMW A3,BMW,SUV,D,52172,751,7,778,4,10.74,Petrol,Petrol,0,1,1611.0,2362.0
Suzuki S8x,Suzuki,Wagon,D,73272,392,5,724,4,11.2,Diesel,Diesel,0,1,1680.0,2072.0
Lancia S2x,Lancia,SUV,D,61233,503,7,550,4,8.33,Diesel,Diesel,0,1,1249.5,1752.5
Audi 111,Audi,MPV,B,34897,553,7,636,5,6.2,Hybrid,Petrol+Electric,1,0,930.0,1483.0
Volvo WW-22,Volvo,Sedan,C,41285,479,5,557,5,11.03,Petrol,Petrol,0,0,1654.5,2133.5
Audi NN6,Audi,SUV,D,59017,584,5,719,4,13.98,Petrol,Petrol,0,1,2097.0,2681.0
Honda F1x,Honda,Wagon,B,36076,582,5,854,5,11.92,Petrol,Petrol,0,1,1788.0,2370.0
Alfa Romeo 666,Alfa Romeo,SUV,B,36434,558,7,734,5,8.58,Diesel,Diesel,0,1,1287.0,1845.0
Seat PP-1,Seat,SUV,D,62190,742,7,506,3,15.72,Petrol,Petrol,0,1,2358.0,3100.0
Opel ZZ-1,Opel,Pickup,E,72240,904,2,0,4,14.31,Petrol,Petrol,0,0,2146.5,3050.5
Nissan W-Class,Nissan,Crossover,D,61526,495,7,582,4,6.91,Diesel,Diesel,0,1,1036.5,1531.5
Skoda CC-5,Skoda,Crossover,A,37736,710,6,420,4,10.78,Diesel,Diesel,0,0,1617.0,2327.0
BMW HH-8,BMW,Crossover,F,109290,887,7,728,5,15.32,Petrol,Petrol,0,1,2298.0,3185.0
Mercedes-Benz BB5,Mercedes-Benz,Coupe,B,34748,753,3,337,3,9.15,Diesel,Diesel,0,0,1372.5,2125.5
Dacia XX-44,Dacia,Convertible,B,32078,489,2,294,4,8.35,Diesel,Diesel,0,0,1252.5,1741.5
Bentley G7,Bentley,Crossover,F,103402,551,7,669,5,7.65,Petrol,Petrol,0,1,1147.5,1698.5
Honda 999,Honda,Sedan,D,59453,402,5,398,3,7.64,Hybrid,Petrol+Electric,1,0,1146.0,1548.0
Citroën FF-99,Citroën,Hatchback,E,75979,607,5,448,4,8.52,Diesel,Diesel,0,0,1278.0,1885.0
Dacia WW-3,Dacia,Crossover,D,52066,457,7,693,4,5.0,Hybrid,Petrol+Electric,1,1,750.0,1207.0
Kia 333,Kia,Coupe,D,62518,643,4,315,3,9.05,Petrol,Petrol,0,0,1357.5,2000.5
Suzuki 555,Suzuki,SUV,C,43019,452,6,757,5,7.92,Diesel,Diesel,0,1,1188.0,1640.0
Alfa Romeo RR-5,Alfa Romeo,Hatchback,C,44286,569,5,431,4,12.25,Petrol,Petrol,0,0,1837.5,2406.5
Citroën WW-1,Citroën,Sedan,E,80714,642,5,463,4,6.86,Hybrid,Petrol+Electric,1,0,1029.0,1671.0
BMW U5 Pro,BMW,SUV,E,78737,527,6,598,5,7.99,Hybrid,Petrol+Electric,1,1,1198.5,1725.5
Land Rover P1 Pro,Land Rover,Coupe,C,47952,653,2,289,5,6.0,Hybrid,Petrol+Electric,1,0,900.0,1553.0
Alfa Romeo V1x,Alfa Romeo,Hatchback,C,43700,476,5,366,4,9.26,Hybrid,Petrol+Electric,1,0,1389.0,1865.0
Renault OO7,Renault,Crossover,C,33728,547,5,443,3,11.61,Petrol,Petrol,0,0,1741.5,2288.5
Opel D-Class,Opel,Wagon,C,44432,461,5,697,4,6.35,Diesel,Diesel,0,1,952.5,1413.5
Toyota QQ-66,Toyota,MPV,E,74453,575,5,633,3,10.62,Diesel,Diesel,0,0,1592.9999999999998,2168.0
Audi B4 Pro,Audi,Hatchback,A,32795,714,5,414,4,10.51,Diesel,Diesel,0,0,1576.5,2290.5
Vauxhall I7,Vauxhall,MPV,C,42634,327,6,976,4,9.51,Petrol,Petrol,0,0,1426.5,1753.5
Hyundai P6 Pro,Hyundai,Crossover,E,76880,726,6,650,5,10.1,Diesel,Diesel,0,1,1515.0,2241.0
Suzuki N4,Suzuki,Wagon,C,42750,572,5,874,4,9.27,Diesel,Diesel,0,1,1390.5,1962.5
Fiat CC1,Fiat,Hatchback,C,36353,273,5,482,5,11.44,Petrol,Petrol,0,0,1716.0,1989.0
Nissan XX-7,Nissan,SUV,C,46320,491,7,703,4,5.53,Hybrid,Diesel+Electric,1,1,829.5,1320.5
Toyota 444,Toyota,Crossover,A,30201,620,6,467,4,9.0,Hybrid,Petrol+Electric,1,0,1350.0,1970.0
Mazda L55,Mazda,Sedan,B,34854,808,5,384,3,5.0,Hybrid,Petrol+Electric,1,0,750.0,1558.0
BMW 222,BMW,SUV,B,28260,731,5,508,4,8.46,Petrol,Petrol,0,1,1269.0000000000002,2000.0000000000002
Fiat Q7,Fiat,Crossover,B,26811,380,7,428,4,10.41,Petrol,Petrol,0,0,1561.5,1941.5
Volkswagen T6,Volkswagen,Crossover,B,33749,696,7,589,5,7.25,Diesel,Diesel,0,1,1087.5,1783.5
Volvo H-Class,Volvo,Hatchback,C,45772,489,5,431,4,7.01,Hybrid,Petrol+Electric,1,0,1051.5,1540.5
Skoda HH-66,Skoda,SUV,A,28780,445,7,654,5,9.61,Petrol,Petrol,0,1,1441.5,1886.5
Audi L9,Audi,Sedan,F,107127,774,5,435,5,12.97,Petrol,Petrol,0,0,1945.5,2719.5
Mercedes-Benz CC-8,Mercedes-Benz,MPV,B,33535,572,7,714,4,10.23,Petrol,Petrol,0,0,1534.5,2106.5
Toyota 888,Toyota,Pickup,C,46297,574,5,0,4,5.28,Hybrid,Petrol+Electric,1,0,792.0,1366.0
Audi 111,Audi,Sedan,E,75884,390,5,537,5,12.13,Petrol,Petrol,0,0,1819.5000000000002,2209.5
Aston Martin N6,Aston Martin,Hatchback,B,24494,376,5,365,4,11.23,Petrol,Petrol,0,0,1684.5,2060.5
Toyota 111,Toyota,Sedan,C,43420,475,5,403,4,8.51,Diesel,Diesel,0,0,1276.5,1751.5
Skoda BB-55,Skoda,SUV,D,62334,693,6,511,3,11.14,Diesel,Diesel,0,1,1671.0,2364.0
Toyota C2x,Toyota,Convertible,C,37213,605,3,319,4,9.22,Petrol,Petrol,0,0,1383.0,1988.0
Volkswagen S1,Volkswagen,SUV,B,34310,735,6,529,4,10.48,Petrol,Petrol,0,1,1572.0,2307.0
Dacia N-Class,Dacia,Hatchback,D,65645,545,5,325,4,11.46,Diesel,Diesel,0,0,1719.0000000000002,2264.0
Maserati 777,Maserati,Hatchback,D,63394,779,5,484,3,5.36,Hybrid,Petrol+Electric,1,0,804.0,1583.0
Kia UU-1,Kia,Sedan,C,37855,474,5,461,5,13.01,Petrol,Petrol,0,0,1951.5,2425.5
BMW NN-88,BMW,Coupe,A,30136,519,3,373,4,5.0,Hybrid,Petrol+Electric,1,0,750.0,1269.0
Volvo U2x,Volvo,Crossover,A,27606,528,7,453,3,8.21,Diesel,Diesel,0,0,1231.5000000000002,1759.5000000000002
Volvo VV1,Volvo,Crossover,D,63367,685,5,438,5,9.66,Diesel,Diesel,0,0,1449.0,2134.0
Porsche RR-66,Porsche,Sedan,C,41920,682,5,472,4,9.28,Diesel,Diesel,0,0,1392.0,2074.0
Toyota DD-2,Toyota,MPV,B,27707,626,6,951,5,9.96,Petrol,Petrol,0,0,1494.0000000000002,2120.0
Lamborghini U2,Lamborghini,SUV,C,44091,509,7,574,4,5.36,Hybrid,Petrol+Electric,1,1,804.0,1313.0
Citroën TT-3,Citroën,Coupe,E,68429,582,2,330,4,13.05,Petrol,Petrol,0,0,1957.5,2539.5
Skoda I6 Pro,Skoda,MPV,A,28602,419,7,823,5,13.04,Petrol,Petrol,0,0,1955.9999999999998,2375.0
Volvo Q8x,Volvo,SUV,A,41234,644,7,477,4,8.59,Hybrid,Petrol+Electric,1,0,1288.5,1932.5
Fiat H33,Fiat,MPV,C,35813,533,8,930,4,9.79,Petrol,Petrol,0,0,1468.4999999999998,2001.4999999999998
Volkswagen B3,Volkswagen,Sedan,D,64256,555,5,408,4,6.47,Diesel,Diesel,0,0,970.5,1525.5
Ford T-Class,Ford,Crossover,C,44933,441,5,696,3,8.67,Diesel,Diesel,0,1,1300.5,1741.5
Land Rover V6 Pro,Land Rover,Hatchback,E,82208,709,5,325,5,7.21,Diesel,Diesel,0,0,1081.5,1790.5
Audi T-Class,Audi,SUV,A,23468,699,6,721,5,8.03,Diesel,Diesel,0,1,1204.5,1903.5
Toyota E88,Toyota,Sedan,C,43829,733,5,595,5,13.54,Petrol,Petrol,0,0,2030.9999999999998,2764.0
Mercedes-Benz U-Class,Mercedes-Benz,Hatchback,C,42221,372,5,520,5,11.11,Petrol,Petrol,0,0,1666.5,2038.5
Subaru M-Class,Subaru,Hatchback,C,43421,665,5,448,3,10.96,Petrol,Petrol,0,0,1644.0000000000002,2309.0
Citroën T3 Pro,Citroën,SUV,C,39957,634,6,466,4,10.05,Petrol,Petrol,0,0,1507.5,2141.5
Mazda H9,Mazda,Crossover,D,57044,790,6,431,4,7.61,Diesel,Diesel,0,0,1141.5,1931.5
Suzuki B7 Pro,Suzuki,SUV,C,41623,592,5,742,3,11.35,Petrol,Petrol,0,1,1702.5,2294.5
Kia GG4,Kia,Sedan,D,70338,576,5,492,4,6.53,Hybrid,Petrol+Electric,1,0,979.5,1555.5
Mercedes-Benz CC-6,Mercedes-Benz,Pickup,B,35952,668,3,0,4,7.35,Diesel,Diesel,0,0,1102.5,1770.5
Rolls-Royce WW-8,Rolls-Royce,MPV,C,47446,249,8,565,5,12.01,Petrol,Petrol,0,0,1801.5,2050.5
Peugeot UU-66,Peugeot,Hatchback,C,47760,492,5,359,4,8.93,Diesel,Diesel,0,0,1339.5,1831.5
Volkswagen UU5,Volkswagen,SUV,C,49321,513,7,675,4,10.36,Diesel,Diesel,0,1,1554.0,2067.0
Toyota L3x,Toyota,Crossover,B,30227,473,7,452,5,11.36,Diesel,Diesel,0,0,1704.0,2177.0
Skoda 111,Skoda,Wagon,F,116257,477,5,825,5,10.47,Petrol,Petrol,0,1,1570.5,2047.5
Ford HH-11,Ford,SUV,E,77011,540,7,741,4,11.1,Petrol,Petrol,0,1,1665.0,2205.0
Ford XX-4,Ford,Wagon,D,45473,469,5,765,4,8.99,Petrol,Petrol,0,1,1348.5,1817.5
Opel UU-44,Opel,Hatchback,E,83155,578,5,421,5,7.61,Hybrid,Petrol+Electric,1,0,1141.5,1719.5
Dacia QQ-6,Dacia,SUV,B,35080,608,7,492,5,11.57,Petrol,Petrol,0,0,1735.5,2343.5
Citroën G7x,Citroën,Wagon,C,42667,436,5,660,4,8.6,Diesel,Diesel,0,1,1290.0,1726.0
Volvo A66,Volvo,Crossover,C,44451,489,7,482,3,6.62,Hybrid,Petrol+Electric,1,0,993.0,1482.0
Peugeot C6,Peugeot,Coupe,E,78507,600,2,302,5,10.02,Petrol,Petrol,0,0,1503.0,2103.0
Porsche S2,Porsche,Hatchback,B,34339,343,5,496,3,8.59,Diesel,Diesel,0,0,1288.5,1631.5
Audi K88,Audi,Hatchback,B,34871,573,5,495,4,10.73,Diesel,Diesel,0,0,1609.5,2182.5
Volkswagen VV-6,Volkswagen,Hatchback,D,54426,582,5,501,3,12.51,Petrol,Petrol,0,0,1876.5,2458.5
Fiat A4,Fiat,Sedan,B,34769,635,5,462,5,10.55,Hybrid,Petrol+Electric,1,0,1582.5,2217.5
DS Automobiles KK-3,DS Automobiles,Hatchback,D,56151,463,5,464,4,10.44,Diesel,Diesel,0,0,1566.0,2029.0
Jaguar II-3,Jaguar,SUV,B,38465,548,6,615,5,13.57,Petrol,Petrol,0,1,2035.5,2583.5
Hyundai SS4,Hyundai,SUV,D,63010,729,5,558,4,7.62,Hybrid,Petrol+Electric,1,1,1143.0,1872.0
Jaguar G11,Jaguar,Crossover,E,80075,445,6,680,5,6.71,Diesel,Diesel,0,1,1006.5,1451.5
Land Rover I22,Land Rover,SUV,C,48737,561,7,542,4,8.44,Petrol,Petrol,0,1,1266.0,1827.0
Volvo W3,Volvo,Hatchback,B,26979,309,5,443,5,8.76,Petrol,Petrol,0,0,1314.0,1623.0
Opel V2x,Opel,Crossover,A,37225,508,7,444,3,7.15,Hybrid,Petrol+Electric,1,0,1072.5,1580.5
Kia GG5,Kia,Hatchback,A,25887,399,5,432,5,6.86,Hybrid,Petrol+Electric,1,0,1029.0,1428.0
Mazda HH-66,Mazda,Convertible,B,36767,608,3,245,4,7.7,Hybrid,Petrol+Electric,1,0,1155.0,1763.0
Seat WW3,Seat,Hatchback,C,45248,537,5,316,4,10.1,Petrol,Petrol,0,0,1515.0,2052.0
BMW U7 Pro,BMW,SUV,C,42565,386,7,596,5,7.61,Hybrid,Petrol+Electric,1,1,1141.5,1527.5
Hyundai 333,Hyundai,MPV,B,30993,750,6,956,4,6.08,Diesel,Diesel,0,0,912.0,1662.0
Peugeot G44,Peugeot,Crossover,B,31533,597,7,503,5,8.71,Diesel,Diesel,0,1,1306.5000000000002,1903.5000000000002
Porsche N6 Pro,Porsche,Crossover,E,81531,748,6,553,5,5.9,Hybrid,Petrol+Electric,1,1,885.0,1633.0
Peugeot UU7,Peugeot,Crossover,B,28783,379,6,641,4,5.36,Hybrid,Petrol+Electric,1,1,804.0,1183.0
Mercedes-Benz BB-4,Mercedes-Benz,Hatchback,C,39121,487,5,328,4,10.95,Petrol,Petrol,0,0,1642.5,2129.5
Ford K3 Pro,Ford,Crossover,C,44039,664,7,490,5,8.62,Hybrid,Petrol+Electric,1,0,1292.9999999999998,1956.9999999999998
Audi HH1,Audi,Convertible,A,25043,452,4,224,5,8.27,Diesel,Diesel,0,0,1240.5,1692.5
Renault E-Class,Renault,Pickup,E,70639,589,4,0,4,5.0,Hybrid,Diesel+Electric,1,0,750.0,1339.0
Lexus GG-22,Lexus,SUV,B,36060,514,6,482,4,13.82,Petrol,Petrol,0,0,2073.0,2587.0
Mini WW-22,Mini,SUV,D,62800,298,6,625,4,8.96,Hybrid,Petrol+Electric,1,1,1344.0000000000002,1642.0000000000002
Renault R77,Renault,Wagon,C,40502,525,5,673,4,8.39,Hybrid,Petrol+Electric,1,1,1258.5,1783.5
Opel M8 Pro,Opel,Crossover,D,56985,516,5,480,4,9.5,Petrol,Petrol,0,0,1425.0,1941.0
Kia P3 Pro,Kia,Sedan,D,56857,544,5,555,5,7.73,Hybrid,Petrol+Electric,1,0,1159.5,1703.5
Cupra XX6,Cupra,Hatchback,D,60055,509,5,424,5,11.22,Petrol,Petrol,0,0,1683.0,2192.0
Volvo X8 Pro,Volvo,Hatchback,C,42376,395,5,340,5,5.64,Hybrid,Petrol+Electric,1,0,846.0,1241.0
Audi QQ-55,Audi,SUV,C,44202,466,6,548,5,8.22,Petrol,Petrol,0,1,1233.0,1699.0
Volkswagen V1x,Volkswagen,Hatchback,D,49542,460,5,429,4,15.51,Petrol,Petrol,0,0,2326.5,2786.5
Peugeot HH-4,Peugeot,Hatchback,C,42912,677,5,364,4,9.85,Diesel,Diesel,0,0,1477.5,2154.5
Mercedes-Benz HH-77,Mercedes-Benz,Hatchback,C,48386,484,5,319,4,11.34,Petrol,Petrol,0,0,1701.0,2185.0
Subaru KK-7,Subaru,MPV,B,33698,588,6,886,5,6.21,Diesel,Diesel,0,0,931.5,1519.5
Mercedes-Benz T3x,Mercedes-Benz,Hatchback,B,30363,589,5,359,4,9.41,Diesel,Diesel,0,0,1411.5,2000.5
Volvo II9,Volvo,Hatchback,C,46302,483,5,441,3,5.0,Hybrid,Petrol+Electric,1,0,750.0,1233.0
Honda 222,Honda,SUV,A,28684,653,5,759,4,7.92,Hybrid,Petrol+Electric,1,1,1188.0,1841.0
Toyota P-Class,Toyota,Sedan,C,38786,522,5,395,4,8.68,Diesel,Diesel,0,0,1302.0,1824.0
Renault HH1,Renault,Pickup,A,30469,468,4,0,4,6.89,Hybrid,Diesel+Electric,1,0,1033.5,1501.5
Ford RR-66,Ford,MPV,C,43879,677,8,573,4,11.64,Petrol,Petrol,0,0,1746.0,2423.0
Suzuki P8x,Suzuki,SUV,D,66425,589,5,548,5,9.84,Hybrid,Petrol+Electric,1,1,1476.0,2065.0
Hyundai O6x,Hyundai,SUV,C,41365,304,7,697,4,7.71,Diesel,Diesel,0,1,1156.5,1460.5
Mercedes-Benz LL-55,Mercedes-Benz,SUV,D,63360,261,7,452,4,8.63,Hybrid,Petrol+Electric,1,0,1294.5000000000002,1555.5000000000002
Mercedes-Benz A3x,Mercedes-Benz,Hatchback,A,32339,794,5,303,4,7.31,Diesel,Diesel,0,0,1096.5,1890.5
Aston Martin HH-55,Aston Martin,Sedan,A,24260,522,5,575,4,13.1,Petrol,Petrol,0,0,1965.0,2487.0
Seat 222,Seat,Hatchback,D,51889,521,5,421,4,11.82,Petrol,Petrol,0,0,1773.0,2294.0
Opel R-Class,Opel,Hatchback,D,56201,346,5,328,4,10.14,Diesel,Diesel,0,0,1521.0,1867.0
Volvo V2 Pro,Volvo,Crossover,D,53466,534,7,502,4,9.87,Hybrid,Petrol+Electric,1,1,1480.4999999999998,2014.4999999999998
