model_name,brand,body_type,segment,price_eur,maintenance_cost_year,seating_capacity,boot_capacity_l,safety_rating,energy_cost_100km,powertrain_type,fuel_type,sustainable,coche_familiar,costo_energia_anual,costo_total_anual,cto_5y,prop_cto_ingreso
BMW FF-8,BMW,SUV,D,48476,627,5,533,5,7.2,Diesel,Diesel,0,1,1080.0,1707.0,57011.0,1.6422110842262934
Ford D9,Ford,Crossover,B,33585,637,7,743,4,10.29,Diesel,Diesel,0,1,1543.4999999999998,2180.5,44487.5,1.2814696393593732
Nissan CC1,Nissan,SUV,D,49816,627,6,613,3,6.17,Hybrid,Petrol+Electric,1,1,925.5,1552.5,57578.5,1.6585580135960365
Hyundai Q5x,Hyundai,MPV,B,33648,479,7,743,4,8.35,Diesel,Diesel,0,0,1252.5,1731.5,42305.5,1.2186167761262818
Skoda LL-77,Skoda,Coupe,C,45476,838,2,268,4,6.11,Hybrid,Petrol+Electric,1,0,916.5,1754.5,54248.5,1.5626368245189537
Dacia ZZ-33,Dacia,Convertible,C,38920,492,2,185,3,10.98,Petrol,Petrol,0,0,1647.0,2139.0,49615.0,1.4291681069247608
Land Rover R88,Land Rover,Crossover,F,125146,655,7,677,4,7.04,Diesel,Diesel,0,1,1056.0,1711.0,133701.0,3.8512789491876944
Kia WW-88,Kia,Crossover,B,37083,679,6,576,3,5.52,Hybrid,Petrol+Electric,1,1,827.9999999999999,1507.0,44618.0,1.285228712985367
Renault Z66,Renault,Crossover,B,30851,626,7,579,4,14.84,Petrol,Petrol,0,1,2226.0,2852.0,45111.0,1.299429657794677
Ferrari 777,Ferrari,SUV,E,85386,564,6,644,5,5.0,Hybrid,Petrol+Electric,1,1,750.0,1314.0,91956.0,2.6488074662979604
Volkswagen H7x,Volkswagen,SUV,B,35909,651,7,578,4,7.43,Diesel,Diesel,0,1,1114.5,1765.5,44736.5,1.2886421246687407
Audi SS1,Audi,Crossover,E,72835,548,5,465,5,11.83,Petrol,Petrol,0,0,1774.5,2322.5,84447.5,2.4325239082843644
Honda ZZ-55,Honda,Hatchback,D,54659,617,5,364,5,13.48,Petrol,Petrol,0,0,2022.0,2639.0,67854.0,1.9545454545454546
Hyundai 111,Hyundai,Hatchback,C,38969,564,5,420,5,11.51,Petrol,Petrol,0,0,1726.5,2290.5,50421.5,1.4523994699850213
Dacia S-Class,Dacia,Coupe,D,65418,912,4,351,5,5.0,Hybrid,Petrol+Electric,1,0,750.0,1662.0,73728.0,2.123746975458002
Opel C4 Pro,Opel,Hatchback,D,53853,774,5,396,4,12.19,Diesel,Diesel,0,0,1828.5,2602.5,66865.5,1.9260715520221223
Skoda T1 Pro,Skoda,SUV,B,30567,627,5,527,4,9.5,Petrol,Petrol,0,1,1425.0,2052.0,40827.0,1.176028344279295
Ferrari G8 Pro,Ferrari,Crossover,F,111373,723,7,511,5,7.06,Hybrid,Petrol+Electric,1,1,1059.0,1782.0,120283.0,3.464771287014633
Renault A2 Pro,Renault,Sedan,E,66727,457,5,490,5,10.54,Diesel,Diesel,0,0,1580.9999999999998,2037.9999999999998,76917.0,2.2156066367092984
Mercedes-Benz F1 Pro,Mercedes-Benz,MPV,E,70227,658,7,958,4,8.08,Petrol,Petrol,0,0,1212.0,1870.0,79577.0,2.2922283673234243
Lamborghini G-Class,Lamborghini,Sedan,C,36905,463,5,482,4,11.94,Petrol,Petrol,0,0,1791.0,2254.0,48175.0,1.3876886738103469
Peugeot CC-99,Peugeot,Convertible,C,39227,525,3,216,4,11.48,Petrol,Petrol,0,0,1722.0,2247.0,50462.0,1.4535660790413643
Subaru NN1,Subaru,Wagon,C,50299,585,5,688,3,10.38,Petrol,Petrol,0,1,1557.0000000000002,2142.0,61009.0,1.7573741214425624
Fiat AA-66,Fiat,Sedan,A,29259,354,5,600,4,6.82,Diesel,Diesel,0,0,1023.0,1377.0,36144.0,1.041133771171794
Ford F7x,Ford,Hatchback,C,45445,574,5,447,3,9.47,Diesel,Diesel,0,0,1420.5,1994.5,55417.5,1.5963100587625303
Mitsubishi R6,Mitsubishi,Sedan,C,39354,533,5,553,4,5.0,Hybrid,Petrol+Electric,1,0,750.0,1283.0,45769.0,1.3183834543150132
Opel I2x,Opel,SUV,D,68709,724,7,778,4,5.15,Hybrid,Petrol+Electric,1,1,772.5,1496.5,76191.5,2.1947084917617237
Ford 999,Ford,Sedan,C,38150,440,5,386,4,12.12,Petrol,Petrol,0,0,1817.9999999999998,2258.0,49440.0,1.4241272035948842
Ford K33,Ford,Pickup,C,36157,418,2,0,4,11.68,Petrol,Petrol,0,0,1752.0,2170.0,47007.0,1.3540442447286554
Seat I22,Seat,Sedan,D,49701,496,5,417,3,9.09,Diesel,Diesel,0,0,1363.5,1859.5,58998.5,1.6994613434727504
Citroën K77,Citroën,Coupe,C,52574,554,2,241,5,6.55,Hybrid,Petrol+Electric,1,0,982.5,1536.5,60256.5,1.7356982371240925
Honda B66,Honda,Hatchback,F,111216,552,5,458,3,9.33,Diesel,Diesel,0,0,1399.5,1951.5,120973.5,3.4846612512962323
Audi A11,Audi,Pickup,D,52074,699,5,0,4,13.4,Petrol,Petrol,0,0,2010.0,2709.0,65619.0,1.8901659177324577
Renault N-Class,Renault,Sedan,A,24899,587,5,430,5,13.87,Petrol,Petrol,0,0,2080.5,2667.5,38236.5,1.101408572416177
Volkswagen EE7,Volkswagen,SUV,A,26072,846,7,503,4,8.33,Hybrid,Petrol+Electric,1,1,1249.5,2095.5,36549.5,1.0528142643161655
Kia II7,Kia,Crossover,D,56297,563,7,565,5,9.02,Diesel,Diesel,0,1,1353.0,1916.0,65877.0,1.8975976494987903
Subaru 444,Subaru,Hatchback,C,42468,651,5,301,4,12.79,Petrol,Petrol,0,0,1918.4999999999998,2569.5,55315.5,1.5933719322502593
Mitsubishi UU-4,Mitsubishi,Coupe,D,61529,483,3,359,3,10.0,Diesel,Diesel,0,0,1500.0,1983.0,71444.0,2.0579559857126397
Kia RR-99,Kia,Sedan,B,35875,770,5,381,5,9.26,Diesel,Diesel,0,0,1389.0,2159.0,46670.0,1.344336905173407
Lancia D5x,Lancia,Crossover,A,22734,472,6,471,4,9.73,Petrol,Petrol,0,0,1459.5,1931.5,32391.5,0.9330424011982947
Toyota L8,Toyota,Crossover,C,52020,592,5,725,4,10.4,Hybrid,Petrol+Electric,1,1,1560.0,2152.0,62780.0,1.8083880631409148
Audi O2 Pro,Audi,Crossover,D,55819,764,6,756,4,7.44,Diesel,Diesel,0,1,1116.0,1880.0,65219.0,1.8786438529784537
Mercedes-Benz AA-77,Mercedes-Benz,Hatchback,F,113879,820,5,487,4,13.17,Petrol,Petrol,0,0,1975.5,2795.5,127856.5,3.6829271805507546
Subaru AA-5,Subaru,Hatchback,E,76348,468,5,408,5,12.69,Petrol,Petrol,0,0,1903.5,2371.5,88205.5,2.540773706648231
Ferrari T2 Pro,Ferrari,Hatchback,C,40300,505,5,372,4,7.31,Hybrid,Diesel+Electric,1,0,1096.5,1601.5,48307.5,1.3915053577601106
Toyota SS-3,Toyota,Sedan,D,49463,710,5,601,5,10.73,Hybrid,Petrol+Electric,1,0,1609.5,2319.5,61060.5,1.7588575872796406
Kia T-Class,Kia,Hatchback,A,29944,482,5,443,5,6.34,Hybrid,Petrol+Electric,1,0,951.0,1433.0,37109.0,1.0689307523908285
Nissan CC-99,Nissan,MPV,C,50069,617,8,520,4,6.16,Hybrid,Petrol+Electric,1,0,924.0,1541.0,57774.0,1.6641894227445557
Toyota EE-6,Toyota,SUV,E,74056,696,6,505,4,10.63,Diesel,Diesel,0,1,1594.5000000000002,2290.5,85508.5,2.46308618504436
Toyota F4 Pro,Toyota,Crossover,C,46865,700,5,724,4,9.31,Hybrid,Diesel+Electric,1,1,1396.5,2096.5,57347.5,1.651904021200599
Opel O9 Pro,Opel,SUV,F,118380,746,7,729,4,6.7,Hybrid,Petrol+Electric,1,1,1005.0,1751.0,127135.0,3.6621442562507203
Volkswagen BB-11,Volkswagen,Sedan,B,28283,490,5,398,4,11.61,Petrol,Petrol,0,0,1741.5,2231.5,39440.5,1.1360899873257289
Fiat UU-55,Fiat,SUV,B,35053,328,7,820,4,9.1,Diesel,Diesel,0,1,1365.0,1693.0,43518.0,1.2535430349118561
Renault A11,Renault,Sedan,C,39837,650,5,516,3,8.37,Diesel,Diesel,0,0,1255.4999999999998,1905.4999999999998,49364.5,1.4219524138725659
Fiat II-55,Fiat,SUV,E,82382,687,5,800,4,6.08,Diesel,Diesel,0,1,912.0,1599.0,90377.0,2.6033241156815303
Vauxhall M4x,Vauxhall,SUV,C,49761,781,6,806,5,8.89,Hybrid,Diesel+Electric,1,1,1333.5,2114.5,60333.5,1.7379162345892385
Peugeot K1 Pro,Peugeot,SUV,D,65195,704,7,685,3,6.08,Diesel,Diesel,0,1,912.0,1616.0,73275.0,2.1106982371240925
BMW Z99,BMW,Pickup,B,34614,452,2,0,3,7.95,Petrol,Petrol,0,0,1192.5,1644.5,42836.5,1.233912317087222
Citroën 222,Citroën,Sedan,D,53861,404,5,393,4,5.09,Hybrid,Petrol+Electric,1,0,763.5,1167.5,59698.5,1.7196249567922572
Opel X2x,Opel,SUV,C,48706,539,5,615,5,6.62,Hybrid,Diesel+Electric,1,1,993.0,1532.0,56366.0,1.623631754810462
Mazda Z99,Mazda,Hatchback,B,39135,583,5,497,3,10.97,Hybrid,Petrol+Electric,1,0,1645.5,2228.5,50277.5,1.4482515266735798
Toyota O-Class,Toyota,SUV,D,54985,560,7,585,4,5.0,Hybrid,Petrol+Electric,1,1,750.0,1310.0,61535.0,1.7725256365940776
Kia L6 Pro,Kia,Wagon,D,51864,405,5,623,4,13.14,Petrol,Petrol,0,1,1971.0,2376.0,63744.0,1.8361562391980644
Subaru X-Class,Subaru,Hatchback,C,38517,211,5,361,4,12.26,Petrol,Petrol,0,0,1839.0,2050.0,48767.0,1.4047413296462725
Seat H-Class,Seat,Crossover,B,29003,402,7,647,4,11.61,Petrol,Petrol,0,1,1741.5,2143.5,39720.5,1.1441554326535315
Ford GG8,Ford,SUV,B,29486,249,6,481,4,6.96,Diesel,Diesel,0,0,1044.0,1293.0,35951.0,1.035574374927987
Audi AA3,Audi,Hatchback,F,113372,524,5,396,5,5.35,Hybrid,Diesel+Electric,1,0,802.5,1326.5,120004.5,3.456749049429658
Volkswagen U8,Volkswagen,MPV,D,56750,635,5,604,3,9.89,Diesel,Diesel,0,0,1483.5,2118.5,67342.5,1.939811614241272
BMW A3,BMW,SUV,D,52172,751,7,778,4,10.74,Petrol,Petrol,0,1,1611.0,2362.0,63982.0,1.8430118677266967
Suzuki S8x,Suzuki,Wagon,D,73272,392,5,724,4,11.2,Diesel,Diesel,0,1,1680.0,2072.0,83632.0,2.409033298767139
Lancia S2x,Lancia,SUV,D,61233,503,7,550,4,8.33,Diesel,Diesel,0,1,1249.5,1752.5,69995.5,2.016231708722203
Audi 111,Audi,MPV,B,34897,553,7,636,5,6.2,Hybrid,Petrol+Electric,1,0,930.0,1483.0,42312.0,1.2188040096785344
Volvo WW-22,Volvo,Sedan,C,41285,479,5,557,5,11.03,Petrol,Petrol,0,0,1654.5,2133.5,51952.5,1.4965001728309713
Audi NN6,Audi,SUV,D,59017,584,5,719,4,13.98,Petrol,Petrol,0,1,2097.0,2681.0,72422.0,2.0861274340361793
Honda F1x,Honda,Wagon,B,36076,582,5,854,5,11.92,Petrol,Petrol,0,1,1788.0,2370.0,47926.0,1.3805161885009793
Alfa Romeo 666,Alfa Romeo,SUV,B,36434,558,7,734,5,8.58,Diesel,Diesel,0,1,1287.0,1845.0,45659.0,1.3152148865076623
Seat PP-1,Seat,SUV,D,62190,742,7,506,3,15.72,Petrol,Petrol,0,1,2358.0,3100.0,77690.0,2.237873026846411
Opel ZZ-1,Opel,Pickup,E,72240,904,2,0,4,14.31,Petrol,Petrol,0,0,2146.5,3050.5,87492.5,2.5202356262242196
Nissan W-Class,Nissan,Crossover,D,61526,495,7,582,4,6.91,Diesel,Diesel,0,1,1036.5,1531.5,69183.5,1.992841917271575
Skoda CC-5,Skoda,Crossover,A,37736,710,6,420,4,10.78,Diesel,Diesel,0,0,1617.0,2327.0,49371.0,1.4221396474248185
BMW HH-8,BMW,Crossover,F,109290,887,7,728,5,15.32,Petrol,Petrol,0,1,2298.0,3185.0,125215.0,3.6068383454315014
Mercedes-Benz BB5,Mercedes-Benz,Coupe,B,34748,753,3,337,3,9.15,Diesel,Diesel,0,0,1372.5,2125.5,45375.5,1.3070486231132619
Dacia XX-44,Dacia,Convertible,B,32078,489,2,294,4,8.35,Diesel,Diesel,0,0,1252.5,1741.5,40785.5,1.174832930061067
Bentley G7,Bentley,Crossover,F,103402,551,7,669,5,7.65,Petrol,Petrol,0,1,1147.5,1698.5,111894.5,3.2231391865422285
Honda 999,Honda,Sedan,D,59453,402,5,398,3,7.64,Hybrid,Petrol+Electric,1,0,1146.0,1548.0,67193.0,1.935505242539463
Citroën FF-99,Citroën,Hatchback,E,75979,607,5,448,4,8.52,Diesel,Diesel,0,0,1278.0,1885.0,85404.0,2.4600760456273765
Dacia WW-3,Dacia,Crossover,D,52066,457,7,693,4,5.0,Hybrid,Petrol+Electric,1,1,750.0,1207.0,58101.0,1.673608710680954
Kia 333,Kia,Coupe,D,62518,643,4,315,3,9.05,Petrol,Petrol,0,0,1357.5,2000.5,72520.5,2.0889647424818527
Suzuki 555,Suzuki,SUV,C,43019,452,6,757,5,7.92,Diesel,Diesel,0,1,1188.0,1640.0,51219.0,1.4753715865883166
Alfa Romeo RR-5,Alfa Romeo,Hatchback,C,44286,569,5,431,4,12.25,Petrol,Petrol,0,0,1837.5,2406.5,56318.5,1.6222635096209241
Citroën WW-1,Citroën,Sedan,E,80714,642,5,463,4,6.86,Hybrid,Petrol+Electric,1,0,1029.0,1671.0,89069.0,2.5656469639359374
BMW U5 Pro,BMW,SUV,E,78737,527,6,598,5,7.99,Hybrid,Petrol+Electric,1,1,1198.5,1725.5,87364.5,2.516548565502938
Land Rover P1 Pro,Land Rover,Coupe,C,47952,653,2,289,5,6.0,Hybrid,Petrol+Electric,1,0,900.0,1553.0,55717.0,1.6049372047470907
Alfa Romeo V1x,Alfa Romeo,Hatchback,C,43700,476,5,366,4,9.26,Hybrid,Petrol+Electric,1,0,1389.0,1865.0,53025.0,1.5273937089526444
Renault OO7,Renault,Crossover,C,33728,547,5,443,3,11.61,Petrol,Petrol,0,0,1741.5,2288.5,45170.5,1.3011435649268348
Opel D-Class,Opel,Wagon,C,44432,461,5,697,4,6.35,Diesel,Diesel,0,1,952.5,1413.5,51499.5,1.483451434497062
Toyota QQ-66,Toyota,MPV,E,74453,575,5,633,3,10.62,Diesel,Diesel,0,0,1592.9999999999998,2168.0,85293.0,2.4568786726581404
Audi B4 Pro,Audi,Hatchback,A,32795,714,5,414,4,10.51,Diesel,Diesel,0,0,1576.5,2290.5,44247.5,1.274556400506971
Vauxhall I7,Vauxhall,MPV,C,42634,327,6,976,4,9.51,Petrol,Petrol,0,0,1426.5,1753.5,51401.5,1.4806285286323309
Hyundai P6 Pro,Hyundai,Crossover,E,76880,726,6,650,5,10.1,Diesel,Diesel,0,1,1515.0,2241.0,88085.0,2.5373026846410878
Suzuki N4,Suzuki,Wagon,C,42750,572,5,874,4,9.27,Diesel,Diesel,0,1,1390.5,1962.5,52562.5,1.5140713215808272
Fiat CC1,Fiat,Hatchback,C,36353,273,5,482,5,11.44,Petrol,Petrol,0,0,1716.0,1989.0,46298.0,1.3336213849521834
Nissan XX-7,Nissan,SUV,C,46320,491,7,703,4,5.53,Hybrid,Diesel+Electric,1,1,829.5,1320.5,52922.5,1.5244411798594308
Toyota 444,Toyota,Crossover,A,30201,620,6,467,4,9.0,Hybrid,Petrol+Electric,1,0,1350.0,1970.0,40051.0,1.1536755386565272
Mazda L55,Mazda,Sedan,B,34854,808,5,384,3,5.0,Hybrid,Petrol+Electric,1,0,750.0,1558.0,42644.0,1.2283673234243577
BMW 222,BMW,SUV,B,28260,731,5,508,4,8.46,Petrol,Petrol,0,1,1269.0000000000002,2000.0000000000002,38260.0,1.1020854937204747
Fiat Q7,Fiat,Crossover,B,26811,380,7,428,4,10.41,Petrol,Petrol,0,0,1561.5,1941.5,36518.5,1.0519213042977302
Volkswagen T6,Volkswagen,Crossover,B,33749,696,7,589,5,7.25,Diesel,Diesel,0,1,1087.5,1783.5,42666.5,1.2290154395667703
Volvo H-Class,Volvo,Hatchback,C,45772,489,5,431,4,7.01,Hybrid,Petrol+Electric,1,0,1051.5,1540.5,53474.5,1.5403416292199563
Skoda HH-66,Skoda,SUV,A,28780,445,7,654,5,9.61,Petrol,Petrol,0,1,1441.5,1886.5,38212.5,1.1007172485309367
Audi L9,Audi,Sedan,F,107127,774,5,435,5,12.97,Petrol,Petrol,0,0,1945.5,2719.5,120724.5,3.4774887659868647
Mercedes-Benz CC-8,Mercedes-Benz,MPV,B,33535,572,7,714,4,10.23,Petrol,Petrol,0,0,1534.5,2106.5,44067.5,1.2693714713676691
Toyota 888,Toyota,Pickup,C,46297,574,5,0,4,5.28,Hybrid,Petrol+Electric,1,0,792.0,1366.0,53127.0,1.5303318354649154
Audi 111,Audi,Sedan,E,75884,390,5,537,5,12.13,Petrol,Petrol,0,0,1819.5000000000002,2209.5,86931.5,2.504075930406729
Aston Martin N6,Aston Martin,Hatchback,B,24494,376,5,365,4,11.23,Petrol,Petrol,0,0,1684.5,2060.5,34796.5,1.0023188155317433
Toyota 111,Toyota,Sedan,C,43420,475,5,403,4,8.51,Diesel,Diesel,0,0,1276.5,1751.5,52177.5,1.5029813342550986
Skoda BB-55,Skoda,SUV,D,62334,693,6,511,3,11.14,Diesel,Diesel,0,1,1671.0,2364.0,74154.0,2.136017974421016
Toyota C2x,Toyota,Convertible,C,37213,605,3,319,4,9.22,Petrol,Petrol,0,0,1383.0,1988.0,47153.0,1.3582497983638668
Volkswagen S1,Volkswagen,SUV,B,34310,735,6,529,4,10.48,Petrol,Petrol,0,1,1572.0,2307.0,45845.0,1.320572646618274
Dacia N-Class,Dacia,Hatchback,D,65645,545,5,325,4,11.46,Diesel,Diesel,0,0,1719.0000000000002,2264.0,76965.0,2.2169892844797787
Maserati 777,Maserati,Hatchback,D,63394,779,5,484,3,5.36,Hybrid,Petrol+Electric,1,0,804.0,1583.0,71309.0,2.0540672888581635
Kia UU-1,Kia,Sedan,C,37855,474,5,461,5,13.01,Petrol,Petrol,0,0,1951.5,2425.5,49982.5,1.439754003917502
BMW NN-88,BMW,Coupe,A,30136,519,3,373,4,5.0,Hybrid,Petrol+Electric,1,0,750.0,1269.0,36481.0,1.0508411107270423
Volvo U2x,Volvo,Crossover,A,27606,528,7,453,3,8.21,Diesel,Diesel,0,0,1231.5000000000002,1759.5000000000002,36403.5,1.048608710680954
Volvo VV1,Volvo,Crossover,D,63367,685,5,438,5,9.66,Diesel,Diesel,0,0,1449.0,2134.0,74037.0,2.13264777048047
Porsche RR-66,Porsche,Sedan,C,41920,682,5,472,4,9.28,Diesel,Diesel,0,0,1392.0,2074.0,52290.0,1.506221914967162
Toyota DD-2,Toyota,MPV,B,27707,626,6,951,5,9.96,Petrol,Petrol,0,0,1494.0000000000002,2120.0,38307.0,1.1034393363290702
Lamborghini U2,Lamborghini,SUV,C,44091,509,7,574,4,5.36,Hybrid,Petrol+Electric,1,1,804.0,1313.0,50656.0,1.459154280447056
Citroën TT-3,Citroën,Coupe,E,68429,582,2,330,4,13.05,Petrol,Petrol,0,0,1957.5,2539.5,81126.5,2.336861965664247
Skoda I6 Pro,Skoda,MPV,A,28602,419,7,823,5,13.04,Petrol,Petrol,0,0,1955.9999999999998,2375.0,40477.0,1.1659465376195415
Volvo Q8x,Volvo,SUV,A,41234,644,7,477,4,8.59,Hybrid,Petrol+Electric,1,0,1288.5,1932.5,50896.5,1.4660819218804009
Fiat H33,Fiat,MPV,C,35813,533,8,930,4,9.79,Petrol,Petrol,0,0,1468.4999999999998,2001.4999999999998,45820.5,1.3198669201520912
Volkswagen B3,Volkswagen,Sedan,D,64256,555,5,408,4,6.47,Diesel,Diesel,0,0,970.5,1525.5,71883.5,2.0706158543611015
Ford T-Class,Ford,Crossover,C,44933,441,5,696,3,8.67,Diesel,Diesel,0,1,1300.5,1741.5,53640.5,1.5451232860928679
Land Rover V6 Pro,Land Rover,Hatchback,E,82208,709,5,325,5,7.21,Diesel,Diesel,0,0,1081.5,1790.5,91160.5,2.6258929600184353
Audi T-Class,Audi,SUV,A,23468,699,6,721,5,8.03,Diesel,Diesel,0,1,1204.5,1903.5,32985.5,0.9501526673579905
Toyota E88,Toyota,Sedan,C,43829,733,5,595,5,13.54,Petrol,Petrol,0,0,2030.9999999999998,2764.0,57649.0,1.6605887775089296
Mercedes-Benz U-Class,Mercedes-Benz,Hatchback,C,42221,372,5,520,5,11.11,Petrol,Petrol,0,0,1666.5,2038.5,52413.5,1.5097793524599608
Subaru M-Class,Subaru,Hatchback,C,43421,665,5,448,3,10.96,Petrol,Petrol,0,0,1644.0000000000002,2309.0,54966.0,1.5833045281714484
Citroën T3 Pro,Citroën,SUV,C,39957,634,6,466,4,10.05,Petrol,Petrol,0,0,1507.5,2141.5,50664.5,1.4593991243230786
Mazda H9,Mazda,Crossover,D,57044,790,6,431,4,7.61,Diesel,Diesel,0,0,1141.5,1931.5,66701.5,1.9213475054729807
Suzuki B7 Pro,Suzuki,SUV,C,41623,592,5,742,3,11.35,Petrol,Petrol,0,1,1702.5,2294.5,53095.5,1.5294244728655375
Kia GG4,Kia,Sedan,D,70338,576,5,492,4,6.53,Hybrid,Petrol+Electric,1,0,979.5,1555.5,78115.5,2.2501296232284824
Mercedes-Benz CC-6,Mercedes-Benz,Pickup,B,35952,668,3,0,4,7.35,Diesel,Diesel,0,0,1102.5,1770.5,44804.5,1.2906008756769214
Rolls-Royce WW-8,Rolls-Royce,MPV,C,47446,249,8,565,5,12.01,Petrol,Petrol,0,0,1801.5,2050.5,57698.5,1.6620146330222376
Peugeot UU-66,Peugeot,Hatchback,C,47760,492,5,359,4,8.93,Diesel,Diesel,0,0,1339.5,1831.5,56917.5,1.639517801590045
Volkswagen UU5,Volkswagen,SUV,C,49321,513,7,675,4,10.36,Diesel,Diesel,0,1,1554.0,2067.0,59656.0,1.7184007374121442
Toyota L3x,Toyota,Crossover,B,30227,473,7,452,5,11.36,Diesel,Diesel,0,0,1704.0,2177.0,41112.0,1.1842378154165227
Skoda 111,Skoda,Wagon,F,116257,477,5,825,5,10.47,Petrol,Petrol,0,1,1570.5,2047.5,126494.5,3.6436945500633713
Ford HH-11,Ford,SUV,E,77011,540,7,741,4,11.1,Petrol,Petrol,0,1,1665.0,2205.0,88036.0,2.5358912317087223
Ford XX-4,Ford,Wagon,D,45473,469,5,765,4,8.99,Petrol,Petrol,0,1,1348.5,1817.5,54560.5,1.571624035027077
Opel UU-44,Opel,Hatchback,E,83155,578,5,421,5,7.61,Hybrid,Petrol+Electric,1,0,1141.5,1719.5,91752.5,2.642945615854361
Dacia QQ-6,Dacia,SUV,B,35080,608,7,492,5,11.57,Petrol,Petrol,0,0,1735.5,2343.5,46797.5,1.3480095633137459
Citroën G7x,Citroën,Wagon,C,42667,436,5,660,4,8.6,Diesel,Diesel,0,1,1290.0,1726.0,51297.0,1.4776183892153474
Volvo A66,Volvo,Crossover,C,44451,489,7,482,3,6.62,Hybrid,Petrol+Electric,1,0,993.0,1482.0,51861.0,1.493864500518493
Peugeot C6,Peugeot,Coupe,E,78507,600,2,302,5,10.02,Petrol,Petrol,0,0,1503.0,2103.0,89022.0,2.5642931213273417
Porsche S2,Porsche,Hatchback,B,34339,343,5,496,3,8.59,Diesel,Diesel,0,0,1288.5,1631.5,42496.5,1.2241185620463186
Audi K88,Audi,Hatchback,B,34871,573,5,495,4,10.73,Diesel,Diesel,0,0,1609.5,2182.5,45783.5,1.3188011291623458
Volkswagen VV-6,Volkswagen,Hatchback,D,54426,582,5,501,3,12.51,Petrol,Petrol,0,0,1876.5,2458.5,66718.5,1.921837193225026
Fiat A4,Fiat,Sedan,B,34769,635,5,462,5,10.55,Hybrid,Petrol+Electric,1,0,1582.5,2217.5,45856.5,1.3209039059799517
DS Automobiles KK-3,DS Automobiles,Hatchback,D,56151,463,5,464,4,10.44,Diesel,Diesel,0,0,1566.0,2029.0,66296.0,1.9096670123286092
Jaguar II-3,Jaguar,SUV,B,38465,548,6,615,5,13.57,Petrol,Petrol,0,1,2035.5,2583.5,51382.5,1.4800812305565156
Hyundai SS4,Hyundai,SUV,D,63010,729,5,558,4,7.62,Hybrid,Petrol+Electric,1,1,1143.0,1872.0,72370.0,2.0846295656181586
Jaguar G11,Jaguar,Crossover,E,80075,445,6,680,5,6.71,Diesel,Diesel,0,1,1006.5,1451.5,87332.5,2.5156268003226177
Land Rover I22,Land Rover,SUV,C,48737,561,7,542,4,8.44,Petrol,Petrol,0,1,1266.0,1827.0,57872.0,1.6670123286092868
